Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
HIRSUTICAULIS,E1536,Kentucky,None,3.070,1.006,0.000,5.458,1.939,3.227,0.985,0.909,1.845,2.866,3.297,3.539,32.660,
HIRSUTICAULIS,E1536,Kentucky,None,2.997,0.945,0.000,6.854,2.029,3.064,1.308,1.242,1.854,2.933,2.463,6.278,24.473,
HIRSUTICAULIS,E1459,Kentucky,None,1.452,1.165,0.000,4.485,1.309,2.807,1.113,0.742,2.008,2.826,3.436,5.704,25.117,522.527
HIRSUTICAULIS,E1459,Kentucky,None,1.835,1.276,0.000,4.697,2.600,2.902,1.338,0.955,1.379,2.848,2.149,4.811,21.363,711.615
HIRSUTICAULIS,E1459,Kentucky,None,1.459,0.832,0.000,4.421,1.933,3.430,1.198,1.100,2.089,3.138,4.930,4.289,17.055,
HIRSUTICAULIS,E1537,Kentucky,None,1.873,0.841,0.899,3.382,1.242,4.013,0.833,0.682,2.238,3.156,2.534,3.805,16.451,557.098
HIRSUTICAULIS,E1537,Kentucky,None,2.738,0.574,0.930,5.432,1.385,3.084,0.748,0.735,1.916,3.597,2.737,6.624,18.143,
HIRSUTICAULIS,E1537,Kentucky,None,1.718,0.659,0.915,7.030,2.057,3.105,0.875,0.863,1.743,3.848,2.207,7.438,10.857,
HIRSUTICAULIS,E513,Missouri,None,1.428,0.755,0.000,3.186,0.929,3.940,1.214,0.824,2.023,4.193,3.337,4.082,9.990,658.161
HIRSUTICAULIS,E513,Missouri,None,1.742,0.323,0.000,7.153,2.435,3.897,1.381,1.132,1.909,4.215,4.362,5.826,14.857,
HIRSUTICAULIS,E513,Missouri,None,2.100,0.537,0.000,4.620,1.293,4.076,1.456,1.215,2.005,2.637,4.684,6.473,24.419,
HIRSUTICAULIS,E1706,Missouri,None,1.167,0.551,0.000,5.385,1.463,4.325,1.349,1.033,1.938,3.263,3.236,7.435,16.916,781.956
HIRSUTICAULIS,E1706,Missouri,None,1.569,0.815,0.000,4.371,1.917,3.618,0.695,0.546,2.135,3.908,4.149,3.806,8.636,730.744
HIRSUTICAULIS,E1706,Missouri,None,1.385,0.828,0.000,4.772,1.611,,,,,4.946,3.874,3.521,13.015,
HIRSUTICAULIS,E503,Missouri,None,1.712,0.703,0.000,4.314,2.139,5.162,2.442,1.808,2.861,3.422,2.941,4.902,17.943,1052.388
HIRSUTICAULIS,E503,Missouri,None,1.927,0.614,0.000,5.103,2.638,4.798,2.274,2.076,1.851,4.445,2.578,5.708,20.942,
HIRSUTICAULIS,E503,Missouri,None,2.140,0.736,0.000,3.654,2.106,5.726,0.856,0.444,4.287,5.044,3.867,4.476,17.860,
GRAYANA,E1710,Oklahoma,None,1.547,0.683,0.000,4.754,1.913,4.171,,,2.361,2.723,4.067,7.715,9.874,448.356
GRAYANA,E1710,Oklahoma,None,2.260,0.617,0.000,,,,,,,,,,,
GRAYANA,E1710,Oklahoma,None,1.649,0.538,0.000,,,,,,,,,,,
HIRSUTICAULIS,E1711,Oklahoma,None,1.151,0.717,0.000,4.314,2.139,4.026,,,2.914,3.267,4.367,1.497,12.854,644.807
HIRSUTICAULIS,E1711,Oklahoma,None,1.293,0.692,0.000,5.103,2.638,3.790,1.561,1.505,2.112,3.951,4.168,2.102,17.837,
HIRSUTICAULIS,E1711,Oklahoma,None,1.167,0.756,0.000,4.342,1.253,,,,,3.314,,1.801,11.880,
HIRSUTICAULIS,E441,Tennessee,None,1.396,0.673,1.030,7.393,2.279,4.150,0.975,0.914,3.318,3.404,3.339,6.348,14.391,723.644
HIRSUTICAULIS,E441,Tennessee,None,1.146,0.606,1.008,7.213,2.080,3.728,1.008,0.530,3.096,3.261,3.777,12.105,15.402,
HIRSUTICAULIS,E441,Tennessee,None,1.640,0.867,1.379,5.327,1.358,3.762,0.721,0.541,3.130,3.358,3.416,4.104,15.235,
HIRSUTICAULIS,E442,Tennessee,None,1.135,0.831,1.035,4.443,1.301,,,,,,,,,600.359
